"","AvgSalary","City","Company","Designation","lat","lng","Max.Salary","Min.Salary","Source","State","Title"
"126",NA,"Burlingame","Oh My Green","Data Analyst",37.586,-122.367,NA,NA,"Glassdoor","CA",""
"127",NA,"Jupiter","Smith Hanley Associates","Data Analyst",26.9195,-80.1123,NA,NA,"Glassdoor","FL",""
"128",NA,"Cambridge","Hopper","Data Analyst",42.3758,-71.1184,NA,NA,"Glassdoor","MA",""
"129",57.5,"Austin","SHI International Corp.","Data Analyst",30.3038,-97.7545,66,49,"Glassdoor","TX",""
"130",59.5,"Lawrenceville","M3","Data Analyst",33.9524,-83.993,73,46,"Glassdoor","GA",""
"131",68.5,"Arlington","Promontory Interfinancial Network","Data Analyst",38.8786,-77.1011,82,55,"Glassdoor","VA",""
"132",76.5,"Atlanta","UPS","Data Analyst",33.7627,-84.4231,88,65,"Glassdoor","GA",""
"133",78,"Springfield","Associated Electric Cooperative","Data Analyst",37.1943,-93.2916,89,67,"Glassdoor","MO",""
"134",NA,"Uniontown","ComDoc","Data Analyst",40.9736,-81.4045,NA,NA,"Glassdoor","OH",""
"135",122,"San Francisco","Twitch","Data Analyst",37.7561,-122.4429,153,91,"Glassdoor","CA",""
"136",117.5,"San Francisco","Fitbit","Data Analyst",37.7561,-122.4429,135,100,"Glassdoor","CA",""
"137",53.5,"Saint Louis","National Geospatial-Intelligence Agency","Data Analyst",38.6358,-90.2451,60,47,"Glassdoor","MO",""
"138",56,"Santa Ana","Optima Tax Relief","Data Analyst",33.7366,-117.8819,64,48,"Glassdoor","CA",""
"139",NA,"San Francisco","The Utility Reform Network","Data Analyst",37.7561,-122.4429,NA,NA,"Glassdoor","CA",""
"140",NA,"United States","Media Search Inc.","Data Analyst",NA,NA,NA,NA,"Glassdoor","United States",""
"141",NA,"Roanoke","Tekmark Global Solutions","Data Analyst",37.2784,-79.9581,NA,NA,"Glassdoor","VA",""
"142",95.5,"Oakland","KAISER","Data Analyst",37.7903,-122.2165,110,81,"Glassdoor","CA",""
"143",63.5,"Taunton","The Boston Globe","Data Analyst",41.9036,-71.0943,72,55,"Glassdoor","MA",""
"144",NA,"Columbus","Fast Switch","Data Analyst",39.9859,-82.9852,NA,NA,"Glassdoor","OH",""
"145",74.5,"Atlanta","First Advantage Corporation","Data Analyst",33.7627,-84.4231,85,64,"Glassdoor","GA",""
"146",NA,"Fargo","AgCountry Farm Credit Services","Data Analyst",46.8654,-96.829,NA,NA,"Glassdoor","ND",""
"147",NA,"New London","Dining Alliance","Data Analyst",41.3502,-72.1023,NA,NA,"Glassdoor","CT",""
"148",88,"Shelton","Lockheed Martin","Data Analyst",41.306,-73.1383,98,78,"Glassdoor","CT",""
"149",NA,"Menlo Park","Aquent","Data Analyst",37.4689,-122.1662,NA,NA,"Glassdoor","CA",""
"150",81,"New York","Starry","Data Analyst",40.6943,-73.9249,93,69,"Glassdoor","NY",""
"151",NA,"Palo Alto","Earnin","Data Analyst",37.3917,-122.1465,NA,NA,"Glassdoor","CA",""
"152",NA,"Phoenix","Saint Lukes Medical Center","Data Analyst",33.5722,-112.0891,NA,NA,"Glassdoor","AZ",""
"153",NA,"New York","QED National","Data Analyst",40.6943,-73.9249,NA,NA,"Glassdoor","NY",""
"154",NA,"New York","MWWPR","Data Analyst",40.6943,-73.9249,NA,NA,"Glassdoor","NY",""
"155",43,"Portland","Standard Insurance Company","Data Analyst",45.5372,-122.65,52,34,"Glassdoor","OR",""
"156",40.5,"Kirkland","Express Employment Professionals","Data Analyst",47.6996,-122.1982,48,33,"Glassdoor","WA",""
"157",59,"Fort Washington","PetroChoice","Data Analyst",40.1408,-75.1925,69,49,"Glassdoor","PA",""
"158",101,"Walnut Creek","CSAA Insurance Group","Data Analyst",37.9025,-122.0398,114,88,"Glassdoor","CA",""
"159",70.5,"Milwaukee","Northwestern Mutual","Data Analyst",43.064,-87.9669,80,61,"Glassdoor","WI",""
"160",73.5,"Portland","Urban Airship","Data Analyst",45.5372,-122.65,85,62,"Glassdoor","OR",""
"161",NA,"Fishkill","MedAllies","Data Analyst",41.5339,-73.8942,NA,NA,"Glassdoor","NY",""
"162",51,"Pensacola","Whitney, Bradley and Brown","Data Analyst",30.4427,-87.1886,63,39,"Glassdoor","FL",""
"163",47.5,"Milan","Group O","Data Analyst",41.4417,-90.5597,57,38,"Glassdoor","IL",""
"164",149,"Seattle","Seattle Children's Hospital","Data Analyst",47.6217,-122.3238,172,126,"Glassdoor","WA",""
"165",79,"Hicksville","PSEG","Data Analyst",40.7637,-73.5245,93,65,"Glassdoor","NY",""
"166",NA,"Springfield","Peraton","Data Analyst",38.7809,-77.1839,NA,NA,"Glassdoor","VA",""
"167",61,"Irving","AutoNation","Data Analyst",32.8584,-96.9702,73,49,"Glassdoor","TX",""
"168",NA,"Houston","IronEdge Group","Data Analyst",29.7871,-95.3936,NA,NA,"Glassdoor","TX",""
"169",NA,"Mount Olive","Mt. Olive Pickle","Data Analyst",35.1982,-78.0683,NA,NA,"Glassdoor","NC",""
"170",59.5,"Greenville","Shellpoint Mortgage Servicing","Data Analyst",34.8364,-82.3649,81,38,"Glassdoor","SC",""
"171",52,"Tempe","Insight Enterprises, Inc.","Data Analyst",33.3881,-111.9318,60,44,"Glassdoor","AZ",""
"172",72.5,"Chicago","Avant","Data Analyst",41.8373,-87.6861,83,62,"Glassdoor","IL",""
"173",59,"Dayton","CareSource","Data Analyst",39.7798,-84.1999,68,50,"Glassdoor","OH",""
"174",NA,"Guilford","Guilford Savings Bank","Data Analyst",NA,NA,NA,NA,"Glassdoor","CT",""
"175",80.5,"Menlo Park","Mindlance","Data Analyst",37.4689,-122.1662,94,67,"Glassdoor","CA",""
"176",72.5,"Lompoc","DenMat","Data Analyst",34.6617,-120.4714,82,63,"Glassdoor","CA",""
"177",NA,"San Francisco","Envoy","Data Analyst",37.7561,-122.4429,NA,NA,"Glassdoor","CA",""
"178",NA,"Atlanta","Elite SEM","Data Analyst",33.7627,-84.4231,NA,NA,"Glassdoor","GA",""
"179",54,"Boston","MFA Boston","Data Analyst",42.3189,-71.0838,63,45,"Glassdoor","MA",""
"180",74.5,"Boston","Boston Consulting Group","Data Analyst",42.3189,-71.0838,85,64,"Glassdoor","MA",""
"181",65.5,"Northbrook","Multivision Inc","Data Analyst",42.1292,-87.8352,75,56,"Glassdoor","IL",""
"182",109.5,"San Francisco","Rally Health","Data Analyst",37.7561,-122.4429,125,94,"Glassdoor","CA",""
"183",NA,"San Francisco","Judicial Council of California","Data Analyst",37.7561,-122.4429,NA,NA,"Glassdoor","CA",""
"184",NA,"Sunnyvale","Pharmacyclics","Data Analyst",37.3846,-122.0261,NA,NA,"Glassdoor","CA",""
"185",63.5,"Austin","FirstCare Health Plans","Data Analyst",30.3038,-97.7545,77,50,"Glassdoor","TX",""
"186",109.5,"San Francisco","IntelliPro Group Inc.","Data Analyst",37.7561,-122.4429,126,93,"Glassdoor","CA",""
"187",NA,"New York","Donnelly & Moore Corporation","Data Analyst",40.6943,-73.9249,NA,NA,"Glassdoor","NY",""
"188",NA,"Pleasanton","Vitamin T","Data Analyst",37.666,-121.8805,NA,NA,"Glassdoor","CA",""
"189",60,"Pojoaque","Buffalo Thunder Resort & Casino","Data Analyst",35.8962,-106.0105,73,47,"Glassdoor","NM",""
"190",NA,"Aberdeen Proving Ground","Phoenix Operations Group","Data Analyst",NA,NA,NA,NA,"Glassdoor","MD",""
"191",122,"San Francisco","Twitch","Data Analyst",37.7561,-122.4429,153,91,"Glassdoor","CA",""
"192",73.5,"Portland","Urban Airship","Data Analyst",45.5372,-122.65,85,62,"Glassdoor","OR",""
"193",67.5,"Manchester","Elliot Health System","Data Analyst",42.9844,-71.4445,77,58,"Glassdoor","NH",""
"194",79,"Hicksville","PSEG","Data Analyst",40.7637,-73.5245,93,65,"Glassdoor","NY",""
"195",74,"Charlotte","Pandera Systems","Data Analyst",35.208,-80.8308,85,63,"Glassdoor","NC",""
"196",65,"Arlington","Snap","Data Analyst",38.8786,-77.1011,75,55,"Glassdoor","VA",""
"197",NA,"Santa Monica","Tastemade","Data Analyst",34.0232,-118.4813,NA,NA,"Glassdoor","CA",""
"198",66.5,"Richmond","EAB","Data Analyst",37.5294,-77.4755,81,52,"Glassdoor","VA",""
"199",NA,"Gold River","PTP","Data Analyst",38.6267,-121.2486,NA,NA,"Glassdoor","CA",""
"200",115.5,"Dallas","Analytical Mechanics Associates","Data Analyst",32.7938,-96.7659,132,99,"Glassdoor","TX",""
"201",NA,"Kansas City","Genesis10","Data Analyst",39.1239,-94.5541,NA,NA,"Glassdoor","MO",""
"202",NA,"Miami","SMP Pharmacy Solutions","Data Analyst",25.784,-80.2102,NA,NA,"Glassdoor","FL",""
"203",72,"Hopkins","American Cybersystems","Data Analyst",44.9259,-93.4058,82,62,"Glassdoor","MN",""
"204",48.5,"Raleigh","North Carolina State University","Data Analyst",35.8323,-78.6441,56,41,"Glassdoor","NC",""
"205",NA,"Columbus","Brooksource","Data Analyst",39.9859,-82.9852,NA,NA,"Glassdoor","OH",""
"206",81,"Rockville","Centeva","Data Analyst",39.0834,-77.1553,92,70,"Glassdoor","MD",""
"207",NA,"Boulder","J2T","Data Analyst",40.0274,-105.2514,NA,NA,"Glassdoor","CO",""
"208",NA,"Quincy","TEKsystems","Data Analyst",42.2516,-71.0183,NA,NA,"Glassdoor","MA",""
"209",63.5,"Houston","Diverse Lynx","Data Analyst",29.7871,-95.3936,75,52,"Glassdoor","TX",""
"210",101.5,"San Jose","[24]7.ai","Data Analyst",37.302,-121.8488,117,86,"Glassdoor","CA",""
"211",NA,"Dearborn","MSX International","Data Analyst",42.3127,-83.213,NA,NA,"Glassdoor","MI",""
"212",85,"New York","Capco","Data Analyst",40.6943,-73.9249,98,72,"Glassdoor","NY",""
